# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24  20181  230.78 3028.96   0.15  -0.15  23.029  0.029  23.429  22.988  23.266   3.781   0.857 -57.892   3.804   0.818 -65.939   7.287   0.839 -72.731   0.921 0 0 1 
1236 24  89458 1229.65 1574.85  -0.07  -0.21  21.066  0.019  21.583  21.032  21.370   5.240   0.728  53.379   6.677   0.627  59.093  15.648   0.596  59.929   0.948 1061818994787214 0 1 
1236 24  98554 1478.63 2694.85   0.02  -0.39  23.446  0.038  23.608  23.388  23.495   3.720   0.714  66.484   3.672   0.494  65.836   5.382   0.382  62.704   0.741 1061818994787866 0 1 
1236 24 184239 1067.55 4061.45  -0.09   0.12  21.040  0.019  21.526  21.017  21.311   5.302   0.665  70.775   6.677   0.548  70.458  14.926   0.506  71.418   0.961 1061818994788619 0 1 
1236 24 164860 1769.45 1811.09  -0.01  -0.11  22.622  0.024  23.105  22.623  22.877   4.872   0.687 -29.042   5.285   0.582 -28.358  11.267   0.529 -26.638   1.000 0 0 1 
1236 24 193460 1567.70 1390.13  -0.02  -0.05  19.478  0.019  19.778  19.479  19.599   3.530   0.817  22.642   3.792   0.676  22.847   5.841   0.638  21.803   1.000 1061818994787149 0 1 
1236 24 145093  696.00  598.32   0.03  -0.03  20.203  0.019  20.791  20.203  20.544   5.625   0.701 -46.220   7.536   0.643 -46.693  18.511   0.603 -46.409   1.000 0 2 1 
1236 24 136352 1688.89 2471.11   0.14  -0.18  22.604  0.024  23.009  22.604  22.793   3.950   0.790 -46.491   4.283   0.626 -45.122   8.156   0.559 -43.325   1.000 0 0 1 
1236 24 112019 1409.64 3935.74   0.09  -0.28  21.885  0.020  22.552  21.886  22.345   5.277   0.738  22.318   6.568   0.645  25.572  17.893   0.601  27.697   1.000 0 0 1 
1236 24  87037  441.83  412.71  -0.10  -0.04  21.850  0.020  22.332  21.778  22.051   5.147   0.753  85.306   6.210   0.686  81.157  14.753   0.640  78.277   0.891 1061818994786549 0 1 
1236 24 159729 1697.11 3440.98  -0.23  -0.41  22.295  0.022  22.837  22.236  22.656   5.358   0.763   3.714   6.054   0.675   4.129  15.484   0.608   3.697   0.921 0 0 1 
1236 24  28440  661.27 2909.14  -0.46  -0.44  24.001  0.050  24.001  23.492     nan   4.033   0.824 -33.952   4.168   0.725 -29.469   9.832   0.647 -28.172   0.000 0 0 1 
1236 24 187494  338.65 2719.87   0.14   0.32  22.738  0.025  23.204  22.738  22.882   4.551   0.593  59.650   5.235   0.401  58.602  10.969   0.366  57.223   1.000 1061818994787881 0 1 
1236 24  75854  546.49 1904.91  -0.00  -0.07  19.590  0.019  19.848  19.591  19.672   3.006   0.976 -79.235   2.816   0.937 -77.147   3.905   0.930 -70.155   1.000 0 0 1 
1236 24 125281 1968.33 1775.25   0.26  -0.17  22.375  0.023  22.746  22.375  22.451   3.327   0.873  54.062   3.239   0.793  53.429   5.358   0.848  41.239   1.000 0 0 1 
1236 24 142783  828.45 2218.18   0.16  -0.09  22.239  0.021  22.464  21.895  22.336   4.996   0.761 -44.064   5.793   0.657 -44.867  14.543   0.580 -45.182   0.451 0 0 1 
1236 24  94937 1993.43 2432.36   0.21   0.22  21.806  0.020  22.489  21.775  21.990   6.435   0.659  85.405   8.494   0.523  83.938  25.490   0.452  83.580   0.966 0 2 1 
1236 24  72935 1428.51 2249.80   0.10  -0.02  20.824  0.020  21.110  20.824  20.886   3.484   0.746  52.955   3.601   0.536  53.807   5.497   0.499  53.015   1.000 1061818994787601 0 1 
1236 24  97170  562.39   65.86  -0.22   0.20  22.345  0.022  22.666  22.293  22.492   4.266   0.675 -68.392   4.618   0.527 -68.013   8.388   0.482 -67.306   0.874 0 0 1 
1236 24 186462  151.79 2717.47  -0.09  -0.08  20.370  0.020  20.667  20.355  20.479   3.595   0.802  45.824   3.779   0.662  47.031   6.012   0.631  47.081   0.955 1061818994787869 0 1 
1236 24  24389 1296.18 3252.03  -0.10  -0.03     nan    nan     nan     nan  20.587   3.841   0.975 -29.756     nan     nan     nan     nan     nan     nan     nan 1061818994788169 0 1 
1236 24 136080  597.37 1351.16  -0.31  -0.03  22.867  0.027  23.298  22.867  22.886   3.960   0.785  11.482   4.612   0.605  13.470   9.527   0.500  14.442   1.000 1061818994787092 0 1 
1236 24 128866 1590.73 4081.04  -0.13   0.07  21.209  0.020  21.616  21.209  21.392   3.550   0.934 -17.402   3.750   0.920 -21.697   6.882   0.911 -23.985   1.000 0 0 1 
1236 24 180706 1333.63 3432.64   0.07  -0.10  19.846  0.019  20.178  19.846  19.909   3.142   0.893 -24.351   3.221   0.773 -28.268   5.314   0.700 -29.849   1.000 1061818994788259 0 1 
1236 24 111376  946.41  718.75   0.01  -0.06  20.616  0.019  20.900  20.616  20.715   3.433   0.760 -77.474   3.473   0.544 -76.707   5.300   0.502 -75.708   1.000 0 2 1 
1236 24 127314  140.94   61.62   0.01  -0.08  20.148  0.019  20.419  20.148  20.256   3.717   0.706 -74.263   4.015   0.500 -74.046   6.101   0.432 -73.582   1.000 0 0 1 
1236 24    442 1415.70 4057.09   0.17   0.06  22.901  0.028  22.966  22.825  22.943   3.274   0.767 -12.553   2.858   0.578 -13.116   3.341   0.518 -15.690   0.456 0 0 1 
1236 24  48548  203.15 3489.35   0.08  -0.20  21.231  0.020  21.543  21.230  21.358   3.615   0.790 -40.888   3.756   0.636 -42.359   6.081   0.585 -41.399   1.000 0 0 1 
1236 24 143062  938.58  413.56   0.08  -0.15  22.392  0.023  22.649  22.389  22.384   3.781   0.643 -71.325   3.792   0.399 -69.435   5.614   0.365 -68.020   0.988 1061818994786547 0 1 
1236 24  27485  744.85 3980.96  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24 142570  792.79 2833.67   0.38  -0.13  23.008  0.028  23.057  22.751  22.986   3.771   0.751 -19.779   3.741   0.591 -21.423   6.281   0.517 -23.711   0.175 0 0 1 
1236 24 196651 1698.11 1407.26  -0.02   0.12  23.012  0.030  23.202  23.008  23.082   3.419   0.724 -19.955   3.239   0.487 -19.567   4.351   0.398 -19.202   0.977 0 0 1 
1236 24  43261 1218.36 3128.75  -0.64   0.34  23.544  0.039  23.982  23.513  23.027   8.796   0.437  34.454   4.278   0.710  72.457   8.803   0.680  65.863   0.943 0 0 1 
1236 24  20341 1132.09 3661.30  -0.10   0.24  22.829  0.027  23.125  22.831  22.881   3.264   0.763 -22.556   3.337   0.538 -18.377   5.361   0.461  -9.711   1.000 0 2 1 
