# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24   3706  728.48  392.40   0.23  -0.38  19.896  0.019  20.380  19.763  20.201   5.128   0.973 -51.609   6.425   0.975 -49.755  16.340   0.963 -39.344   0.818 0 3 1 
1236 24   1442   82.19  520.57  -0.19   0.43     nan    nan  22.011  20.830  21.208  15.184   0.764  71.680  16.155   0.785  65.828  74.121   0.775  73.322     nan 0 0 1 
1236 24   1356 1833.86 1859.99  -0.17  -0.05  22.565  0.023  22.714  22.177  24.499   4.549   0.865  24.395   4.834   0.850  23.393  10.846   0.873  20.406   0.321 0 0 1 
1236 24   2972 1604.04 3595.60   0.15  -0.54  22.216  0.021  22.545  21.859  22.446   5.222   0.878  60.284   6.171   0.834  60.783  17.470   0.794  58.922   0.550 1061818994788364 0 1 
1236 24   2983 1085.95 1531.70  -0.01  -0.06  20.727  0.019  21.036  20.657  20.866   3.610   0.982  54.977   3.748   0.964  50.091   6.599   0.970  46.614   0.830 0 0 1 
1236 24    349  488.24 3622.54  -0.18   0.00  21.782  0.020  22.014  21.699  21.897   3.422   0.974  -0.756   3.326   0.941 -16.499   5.397   0.903 -26.387   0.751 0 0 1 
1236 24   1217 1635.13 3273.74   1.16   1.29  22.260  0.021  22.955  22.144  22.857   7.082   0.645 -50.560   8.997   0.689 -50.746  27.709   0.738 -54.707   0.892 1061818994788190 0 1 
1236 24   3290 1094.41 3113.77  -0.12  -0.01  21.777  0.020  22.101  21.750  21.922   3.407   0.974 -89.275   3.397   0.937  79.219   5.752   0.919  74.428   0.929 0 0 1 
1236 24   1214  596.32  122.51  -0.01  -0.05  20.107  0.019  20.567  20.030  20.396   4.530   0.976  79.361   5.523   0.964  71.341  12.266   0.991  76.416   0.877 1061818994786368 0 1 
1236 24   3186  277.20 1058.59  -0.71  -0.05  23.061  0.030  23.133  22.878  23.036   3.929   0.680 -22.650   3.867   0.470 -21.835   5.977   0.390 -20.380   0.297 1061818994786933 0 1 
1236 24   2776 1327.55  731.47  -0.03   0.01  20.621  0.019  20.999  20.618  20.804   3.531   0.997 -75.139   3.697   0.983  57.779   6.472   0.987  48.472   0.991 1061818994786743 0 1 
1236 24   4704 1822.09 1607.55   0.36  -0.28  22.353  0.022  22.353  21.862     nan   4.414   0.937 -33.482   4.677   0.902 -35.178  10.395   0.863 -38.369   0.000 0 0 1 
1236 24   4839  576.41 1020.70   0.03   0.26  21.991  0.021  22.401  21.851  22.110   4.903   0.837 -85.402   5.697   0.789 -88.422  13.185   0.782 -88.609   0.780 1061818994786911 0 1 
1236 24   3671 1985.71 2423.96  -0.01  -0.04  19.959  0.019  20.104  19.743  20.021   3.910   0.986  29.159   4.081   0.986  45.032   7.115   0.994  57.529   0.423 0 0 1 
1236 24   2417 1346.13 2462.32   0.25  -0.28  22.332  0.022  22.524  21.831  22.428   5.164   0.851  79.946   6.110   0.778  80.072  17.460   0.738  80.550   0.337 0 0 1 
1236 24    760 1084.63 2571.32  -0.64  -0.27  22.307  0.021  22.307  21.682  22.165   5.296   0.859 -29.412   6.078   0.834 -32.521  15.922   0.826 -40.952   0.000 1061818994787789 0 1 
1236 24   1866  555.88 1241.46   0.08  -0.20  20.531  0.019  20.784  20.023  20.704   6.354   0.961 -47.423   7.880   0.972 -58.654  24.323   0.967  84.102   0.404 1061818994787022 0 1 
1236 24   2722 1346.90 3331.30  -0.00  -0.03  19.508  0.019  19.853  19.218  19.751   5.652   0.986  32.831   7.167   0.982  53.957  18.819   0.987  54.682   0.598 0 0 1 
1236 24   4081   70.94 2750.93   0.40   0.33  22.420  0.022  22.848  22.248  22.618   5.548   0.747  64.426   6.349   0.681  60.502  15.915   0.652  56.439   0.760 0 0 1 
1236 24   1725 1875.81  658.85   0.07  -0.13  21.920  0.021  22.145  21.889  21.972   3.028   0.976   4.498   2.585   0.964  -1.686   3.682   0.944 -46.283   0.882 0 0 1 
1236 24   1853  869.52 3631.34   0.26  -0.04     nan    nan     nan     nan     nan   3.302   0.813  57.869     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24    793  710.37 2158.94  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24    933 1467.05 1517.76  -0.21  -0.33  21.671  0.020  21.964  21.237  21.953   5.532   0.971  49.098   6.415   0.972  48.145  18.620   0.979  35.795   0.476 0 0 1 
1236 24   1180 1398.62 2091.37  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24   3923 1942.89 1641.23  -0.07   0.29  21.906  0.021  22.202  21.735  21.982   4.634   0.800  65.484   5.071   0.732  63.721  10.487   0.719  62.080   0.670 0 0 1 
1236 24   2736  395.10 2609.39   0.29   0.33     nan    nan     nan     nan     nan   2.755   0.776  62.071     nan     nan     nan     nan     nan     nan     nan 0 0 1 
1236 24   4768 1433.66 3376.39  -0.03   0.02  20.431  0.019  20.846  20.181  20.726   5.371   0.981 -69.158   6.569   0.977 -83.745  17.637   0.989 -73.996   0.681 1061818994788229 0 1 
1236 24   1661  696.75 2289.30   0.06  -0.26  21.895  0.020  22.331  21.717  22.150   4.722   0.966 -80.023   5.364   0.940 -81.999  13.413   0.940 -76.650   0.757 0 0 1 
1236 24   3348 1517.05  160.53  -0.26  -0.44  22.750  0.026  22.914  22.662  22.798   3.440   0.839  67.983   3.217   0.705  64.028   4.645   0.668  61.747   0.665 0 0 1 
1236 24   1514 1157.07 1199.63   0.16  -0.05  21.285  0.020  21.637  21.065  21.541   4.758   0.966  12.757   5.535   0.949  -2.320  13.357   0.930  -9.336   0.664 0 2 1 
1236 24   1133 1752.69 3797.75  -1.00  -1.00   0.000  0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 -1 -1 -1 
1236 24   4378  602.57  736.64   0.11  -0.16  21.405  0.020  21.784  21.345  21.581   3.899   0.924  81.123   4.191   0.893  83.649   8.179   0.885 -87.219   0.878 0 0 1 
1236 24   1186 1984.54 1797.25   0.08  -0.12  22.024  0.021  22.589  22.024  22.181   4.902   0.878  53.558   5.643   0.832  54.532  12.966   0.840  60.565   1.000 1061818994787371 0 1 
1236 24   2702  401.39  786.05  -0.20   0.03  21.895  0.020  22.556  21.774  22.135   5.975   0.801  27.678   7.554   0.710  29.070  24.150   0.645  29.173   0.883 0 0 1 
