# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24 116685  281.34 2190.02  -0.44  -0.16  22.861  0.027  22.964  22.652     nan   3.389   0.954   1.677   3.280   0.840   0.823   5.932   0.638   1.495   0.351 0 0 0 0 0 1 
1236 24  29377  609.49 3755.03  -0.09   0.03  20.866  0.019  20.972  20.506  20.929   4.404   0.955  35.534   4.825   0.945  35.298  10.066   0.949  33.102   0.256 0 0 0 0 0 1 
1236 24 130459 1843.14  418.08  -0.14  -0.06  22.011  0.021  22.011  21.794  23.176   3.245   0.980 -82.811   2.828   0.952 -79.091   3.881   0.915 -85.270   0.000 0 0 0 0 0 1 
1236 24 167926 1603.79  938.76   0.67   0.79  22.372  0.022  22.692  22.145  22.642   4.342   0.965 -37.375   4.826   0.902 -43.612  11.455   0.835 -45.235   0.637 0 0 0 0 0 1 
1236 24  28880 1521.32 1254.48  -0.00  -0.02  20.061  0.019  20.182  19.738  20.140   4.467   0.987  89.237   4.972   0.977  82.870  10.112   0.972 -89.307   0.299 0 0 0 1061818994787016 0 1 
1236 24  58088 2004.15 2751.57  -0.15  -0.57  22.735  0.026  22.735  22.524  22.739   3.193   0.950 -33.731   2.734   0.884 -35.342   3.782   0.824 -26.983   0.000 0 0 0 0 0 1 
1236 24  71791   57.19  161.76  -0.25  -0.54  23.237  0.033  23.237  23.021  23.198   3.204   0.872   7.886   2.921   0.744   9.502   3.999   0.711  15.001   0.000 0 0 0 1061818994786414 0 1 
1236 24 189496 1694.76 1725.94  -0.09   0.07  21.652  0.020  21.725  21.138  21.686   4.871   0.959  63.039   5.658   0.903  75.730  14.318   0.860  77.918   0.153 0 0 0 0 2 1 
1236 24  64119 1397.62 3258.72  -0.02  -0.09  21.201  0.020  21.206  21.059  21.185   2.954   0.968   9.552   2.355   0.962   0.739   2.695   0.954  -5.659   0.037 0 0 0 0 0 1 
1236 24  54528  653.42  608.02   0.03  -0.03  22.034  0.021  22.034  21.711  22.048   3.710   0.981 -82.757   3.573   0.968 -86.511   5.963   0.959  84.891   0.000 0 0 0 0 0 1 
1236 24 163164 1408.40 1217.83  -0.01  -0.08  20.362  0.019  20.470  20.001  20.411   4.398   0.996  74.014   4.875   0.990  79.911  10.291   0.984 -66.553   0.258 0 0 0 0 0 1 
1236 24 163144 1942.03 1722.83   0.07  -0.02  21.854  0.021  21.932  21.693  21.869   3.180   0.949 -58.117   2.793   0.883 -58.674   3.937   0.853 -56.971   0.338 0 0 0 0 0 1 
1236 24 111723  865.24 2797.12   0.12   0.17  22.422  0.022  22.421  22.022  22.417   4.135   0.940  37.385   4.170   0.936  39.547   8.052   0.921  45.008   0.000 0 0 0 1061818994787922 0 1 
1236 24 188934  217.78 2472.23  -0.67   0.19  22.739  0.025  23.119  22.621     nan   4.438   0.953   6.751   4.482   0.959 -11.486   9.516   0.964 -17.935   0.794 0 0 0 0 0 1 
1236 24 160920 1782.05 2792.46   0.10   0.12  21.781  0.020  21.780  21.260  21.748   4.625   0.943 -72.437   5.066   0.914 -66.945  11.597   0.897 -63.199   0.000 0 0 0 0 0 1 
1236 24 111939  361.18  265.41  -0.04   0.06  22.645  0.024  22.645  22.169  22.629   4.252   0.901  79.759   4.473   0.845  74.771   9.868   0.778  70.431   0.000 0 0 0 0 0 1 
1236 24 160119   98.84 1149.29  -0.22  -0.08     nan    nan     nan     nan     nan   3.161   0.903 -22.332     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 24 134117  227.57  323.79   0.13  -0.28  23.004  0.027  23.004  22.418  23.021   4.695   0.901 -38.097   5.026   0.885 -36.312  12.368   0.881 -34.763   0.000 0 0 0 0 0 1 
1236 24  10982  191.10 3450.08   0.70  -0.25     nan    nan     nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 0 1 
1236 24 180277 1815.08 3448.19  -0.29  -0.06  22.659  0.025  22.686  22.365  22.606   3.429   0.877  24.859   3.270   0.781  21.047   5.622   0.695  13.787   0.092 0 0 0 0 0 1 
1236 24 159581 1778.54 3596.49  -0.02  -0.11  22.120  0.021  22.120  21.721  23.898   4.135   0.932 -83.874   4.332   0.869 -80.940   8.392   0.826 -75.834   0.000 0 0 0 0 0 1 
1236 24 201000 1409.30 2162.54   0.28  -0.31  22.310  0.022  22.334  21.876  22.294   4.229   0.911  41.230   4.451   0.867  42.792   9.386   0.828  49.114   0.061 0 0 0 1061818994787583 0 1 
1236 24  96693  649.23  404.14   0.11   0.05  21.698  0.020  21.901  21.451  21.835   4.547   0.805 -89.368   4.970   0.730  88.642  10.196   0.701  87.028   0.489 0 0 0 1061818994786548 0 1 
1236 24   7654 1962.83 3339.10  -0.22  -0.23  23.000  0.029  23.000  22.807  24.526   3.195   0.947  -4.653   2.737   0.896  -7.469   3.679   0.829  -1.880   0.000 0 0 0 0 0 1 
1236 24 113106 1626.79 2980.32  -0.10   0.02  20.850  0.019  20.932  20.418  20.895   4.933   0.930   8.844   5.580   0.915   9.361  12.646   0.905   3.263   0.184 0 0 0 0 0 1 
1236 24  17934  417.89 3238.36  -0.06  -0.28     nan    nan     nan     nan     nan   3.067   0.935  64.391     nan     nan     nan     nan     nan     nan     nan 0 0 0 0 2 1 
1236 24  98881  857.61 1910.59   0.27   0.27  22.924  0.028  23.084  22.739  22.847   3.360   0.950  24.397   3.080   0.952  15.720   5.390   0.882 -11.739   0.490 0 0 0 1061818994787434 0 1 
1236 24  48270 1365.46 3798.82  -0.33   0.12  22.971  0.026  22.971  22.429     nan   4.354   0.950 -47.497   4.548   0.924 -21.354  11.149   0.837  -5.409   0.000 0 0 0 0 0 1 
1236 24 107637 1782.00  969.57   0.19   0.39  24.804  0.132  24.804  24.804  24.880   2.010   0.902  56.424   0.541   0.157  61.766   0.329   0.140  63.430   0.000 0 0 0 1061818994786918 0 0 
1236 24 152619  430.63 1853.73  -0.02  -0.33  22.707  0.024  22.707  22.181     nan   4.783   0.820  40.061   5.233   0.733  41.018  12.781   0.645  43.165   0.000 0 0 0 0 0 1 
1236 24  84182 1395.05 2188.98  -0.03  -0.10  21.460  0.020  21.460  20.922  21.417   4.461   0.992 -21.308   4.937   0.980 -45.267  11.541   0.959 -45.878   0.000 0 0 0 1061818994787583 0 1 
1236 24   5679  861.40 1315.57   0.07   0.52  22.409  0.022  22.409  21.833     nan   4.627   0.901  22.342   5.167   0.844  24.317  12.962   0.791  25.996   0.000 0 0 0 0 0 1 
1236 24  92777 1101.37 3519.15  -0.14   0.07  23.129  0.029  23.129  22.698     nan   3.721   0.950  63.581   3.622   0.956  45.271   7.288   0.907   5.438   0.000 0 0 0 0 0 1 
1236 24 106678  816.42 3888.02   0.12  -0.18  22.309  0.022  22.308  22.063  22.285   3.384   0.880 -85.422   3.097   0.785 -88.385   4.518   0.748  84.192   0.000 0 0 0 0 0 1 
1236 24 102060  713.70 2789.23  -0.03  -0.10  21.401  0.020  21.459  21.187  21.401   3.318   0.953  64.132   3.038   0.911  72.725   4.578   0.891  71.930   0.228 0 0 0 1061818994787907 0 1 
1236 24 153297  394.14 1624.12  -1.52   0.92  21.113  0.020  21.113  20.362  21.145   6.142   0.970  77.748   7.417   0.970  86.440  23.091   0.960  21.998   0.000 0 0 0 1061818994787254 0 1 
1236 24 197121  314.89  996.49   0.48  -0.40  22.439  0.022  22.439  21.846  22.307   4.745   0.878  28.006   5.436   0.798  31.280  14.039   0.731  32.379   0.000 0 0 0 0 0 1 
1236 24 177915 1465.47 3875.69  -0.29   0.04  22.788  0.025  22.979  22.562  22.893   3.635   0.911  69.660   3.849   0.794  72.043   7.621   0.722  72.566   0.497 0 0 0 0 0 1 
1236 24  10899  857.05 4142.86  -0.05   0.14  22.241  0.022  22.376  22.056  22.319   3.429   0.975   6.101   3.285   0.959 -15.306   5.444   0.917 -25.926   0.445 0 0 0 1061818994788681 0 1 
1236 24  46567  583.07 1864.82  -0.15  -0.16  22.204  0.021  22.203  21.654  22.166   4.699   0.949   0.723   5.241   0.933   0.280  12.652   0.901  14.185   0.000 0 0 0 1061818994787415 0 1 
1236 24 130792   75.44 2229.77  -0.05  -0.01  20.534  0.020  20.533  20.054  20.495   4.553   0.983 -75.883   5.043   0.974 -64.157  10.969   0.960 -55.143   0.000 0 0 0 0 0 1 
1236 24  74749  205.73 1659.96  -0.51  -0.10  22.740  0.024  22.740  22.197     nan   4.478   0.900  74.283   4.801   0.864  77.691  11.279   0.837  80.526   0.000 0 0 0 0 0 1 
1236 24  51500 1090.03  837.17  -0.11   0.08  21.454  0.020  21.557  21.134  21.531   4.197   0.924  67.929   4.476   0.902  66.599   8.796   0.888  68.408   0.270 0 0 0 1061818994786804 0 1 
1236 24  85027  302.12 3902.85  -0.08  -0.04  20.800  0.019  20.914  20.390  20.859   4.567   0.977  57.575   5.139   0.979  71.667  11.635   0.986 -67.985   0.250 0 0 0 0 0 1 
1236 24 170877  597.78  514.47  -0.18  -0.12  22.504  0.023  22.612  21.984  22.679   4.772   0.902   9.777   5.385   0.847  13.906  14.118   0.814  16.660   0.213 0 0 0 0 0 1 
1236 24  18797 1525.29 2600.24   0.45  -0.17  23.017  0.028  23.335  22.888  23.292   4.803   0.714  84.484   5.609   0.567  84.635  11.917   0.485  85.478   0.741 0 0 0 1061818994787799 0 1 
1236 24  73663   20.73  550.17   0.27  -0.17     nan    nan     nan     nan  22.506   3.038   0.990  43.119     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994786559 0 1 
1236 24 118059  626.98 4150.53   0.02   0.47  22.685  0.024  22.684  22.147     nan   4.559   0.924  10.025   4.936   0.883  18.750  11.693   0.832  24.921   0.000 0 0 0 0 0 1 
1236 24 149304  918.97 1960.33   0.43  -0.42  21.759  0.020  21.982  21.455  21.838   4.882   0.831 -25.876   5.551   0.753 -29.560  13.017   0.689 -31.772   0.472 0 0 0 0 0 1 
1236 24  77662 1141.23 1801.01   0.23  -0.07  23.071  0.030  23.071  22.843     nan   3.710   0.796  69.921   3.475   0.672  67.905   5.124   0.598  63.966   0.000 0 0 0 0 0 1 
