# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  SdssMiter ExpMiter DevMiter parentID  nChild  extended
1236 24  92029 1055.16 3083.81  -0.01  -0.07  22.217  0.022  22.216  22.029  22.245   3.261   0.936  -5.218   2.831   0.887 -11.266   3.627   0.870 -20.807   0.000 0 0 0 0 0 1 
1236 24  42924  161.31 1308.79  -0.06  -0.04  23.035  0.030  23.034  22.940  23.080   3.250   0.728  40.789   2.830   0.472  40.606   3.120   0.361  40.067   0.000 0 0 0 0 0 1 
1236 24 128458 1568.10  628.44   0.12  -0.07  22.185  0.021  22.185  21.798  22.141   4.695   0.684 -66.496   5.031   0.564 -66.161   9.705   0.508 -66.006   0.000 0 0 0 0 0 1 
1236 24 143346 1847.70 4122.69   0.10   0.02  22.494  0.023  22.494  22.126  22.512   4.226   0.725  64.221   4.453   0.571  65.115   8.511   0.486  65.779   0.000 0 0 0 0 0 1 
1236 24  11711 1728.78 3036.33   0.14  -0.15  22.069  0.022  22.473  22.015  22.290   3.175   0.860  42.685   2.866   0.730  45.793   6.320   0.603  51.299   0.895 0 0 0 1061818994788111 0 1 
1236 24 191778  474.36  943.64   0.04  -0.03  20.903  0.019  20.967  20.476  20.920   4.356   0.986  18.481   4.767   0.968  34.026  10.294   0.974  32.352   0.152 0 0 0 1061818994786867 0 1 
1236 24  39680  670.38  682.88  -0.09   0.13  22.216  0.021  22.432  21.971  22.319   4.419   0.780 -41.567   4.900   0.675 -41.789  10.386   0.619 -40.084   0.508 0 0 0 1061818994786699 0 1 
1236 24  97874  703.83 3217.10  -0.10   0.10  22.133  0.021  22.260  21.849  22.209   3.858   0.864 -22.158   3.978   0.776 -21.803   7.809   0.710 -21.366   0.341 0 0 0 1061818994788164 0 1 
1236 24  44066 1847.54 3991.25  -1.00  -1.00  -1.000 -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000  -1.000 -1 -1 -1 -1 -1 -1 
1236 24  64886  104.53 1029.84  -0.01  -0.13  21.551  0.020  21.550  21.437  21.535   2.978   0.862  35.009   2.424   0.728  33.773   2.642   0.663  32.398   0.000 0 0 0 0 0 1 
1236 24   7853  117.33 2237.98   0.51   0.14  22.776  0.025  22.775  22.519  22.738   4.214   0.722  72.316   4.140   0.609  74.498   6.454   0.551  78.338   0.000 0 0 0 0 0 1 
1236 24   5974  414.22 2203.52   0.40  -0.22  22.354  0.021  22.353  21.659  22.376   6.959   0.554 -19.015   8.352   0.476 -19.164  24.803   0.435 -19.088   0.000 0 0 0 0 0 1 
1236 24 152895 1027.56 1137.91   0.16  -0.06  23.007  0.029  23.007  22.748     nan   3.671   0.823  70.552   3.564   0.663  70.206   5.866   0.511  69.010   0.000 0 0 0 0 0 1 
1236 24 188161 1175.39 2882.89   0.17  -0.20  23.152  0.030  23.177  22.896  23.083   4.181   0.589 -19.724   4.387   0.324 -19.838   7.054   0.289 -17.872   0.096 0 0 0 1061818994787976 0 1 
1236 24  57737  575.22 3264.01  -0.05  -0.28  23.042  0.029  23.108  22.833  23.075   3.504   0.821  18.301   3.395   0.686  20.275   5.466   0.581  21.577   0.254 0 0 0 1061818994788191 0 1 
1236 24  23490   24.01  421.26  -0.01  -0.26     nan    nan     nan     nan  20.959   3.706   0.919  20.975     nan     nan     nan     nan     nan     nan     nan 0 0 0 1061818994786557 0 1 
1236 24 193516  641.53 1530.94  -0.03  -0.04  20.428  0.019  20.481  20.096  20.439   4.630   0.762  50.811   5.144   0.669  50.999   9.826   0.623  51.131   0.153 0 0 0 0 0 1 
1236 24  31984  576.00 3649.48  -0.04  -0.32  22.258  0.021  22.338  21.867  22.337   4.860   0.784  36.681   5.439   0.707  33.533  11.840   0.661  32.277   0.194 0 0 0 1061818994788405 0 1 
1236 24  67103   69.55 3253.27  -0.16   0.27  23.056  0.031  23.056  23.016  23.149   2.524   0.970   6.668   1.655   0.938 -23.011   1.375   0.945 -70.222   0.000 0 0 0 0 0 1 
1236 24 159317  747.46  889.59  -0.13  -0.06  22.966  0.029  22.966  22.729  22.985   3.336   0.904  88.443   2.963   0.837 -89.003   4.209   0.816 -86.840   0.000 0 0 0 0 0 1 
1236 24 154065 1831.51 2531.94  -0.22  -0.15  21.911  0.021  21.959  21.585  21.918   4.418   0.743  77.884   4.768   0.607  79.249   9.059   0.540  79.752   0.145 0 0 0 0 0 1 
1236 24 192849 1936.67 1813.37   0.57   0.41  21.962  0.021  22.203  21.777  22.086   4.088   0.874  26.795   4.297   0.826  27.239   8.346   0.809  22.466   0.602 0 0 0 0 0 1 
1236 24 172622 1862.93 1536.17   0.19  -0.17  22.058  0.021  22.058  21.602  22.086   4.244   0.973 -35.745   4.469   0.928 -36.534   9.530   0.871 -34.177   0.000 0 0 0 0 0 1 
1236 24 140503  352.84 3200.67  -0.12  -0.03  22.215  0.022  22.214  22.051  22.206   3.120   0.911 -39.686   2.678   0.809 -40.431   3.280   0.768 -40.325   0.000 0 0 0 0 0 1 
1236 24  76063   85.95  175.71  -0.05   0.07  21.035  0.020  21.096  20.595  21.068   4.707   0.873 -84.076   5.230   0.849 -84.468  11.578   0.837 -83.837   0.144 0 0 0 1061818994786412 0 1 
1236 24  29752  683.10 2982.43   0.01  -0.01  21.117  0.020  21.417  20.931  21.283   5.060   0.582  81.411   5.830   0.417  82.522  12.574   0.401  87.920   0.652 0 0 0 0 2 1 
